source_id	split_form	split_tag	count
van-data	edona	v	1
van-data	ti		1
van-data	ije		1
van-data	one	ev	1
van-data	jaGa	t	1
van-data	emé		1
van-data	pegi		1
van-data	tegi		1
van-data	ibiwe	n	1
van-data	ixagodi		1
van-data	biju	n	1
van-data	li	Plu	1
van-data	tece	Apl	1
