source_id	source_tag	chunk_label	count
van-data	VB	IP-ADV[l=1]	1
van-data	N$	IP-ADV[l=1]	1
van-data	Q	CP-me-me[l=1]	1
van-data	C	CP-me-me[l=1]	1
van-data	N$	CP-me-me[l=1]	1
van-data	N	NP[l=4]	1
van-data	ADV	IP-MAT[l=0]	1
van-data	ADV	ADVP[l=1]	1
van-data	C	NP[l=1]	1
van-data	C	CP-me[l=2]	1
van-data	VB	CP-me[l=2]	1
van-data	WPRO	IP-MAT[l=0]	1
van-data	WPRO	NP[l=1]	1
van-data	WPRO	CP-REL[l=2]	1
van-data	WPRO	WNP[l=3]	1
van-data		CP-REL[l=2]	1
van-data		IP-SUB[l=3]	1
van-data		NP-TRACE[l=4]	1
van-data	VB	CP-REL[l=2]	1
van-data	VBU	IP-MAT[l=0]	1
van-data		NP-GEN[l=2]	1
van-data	NEG+D	IP-MAT[l=0]	1
van-data	NEG	CP-me[l=1]	1
van-data	NEG	IP-SUB[l=2]	1
van-data	ADJ	IP-MAT[l=0]	1
van-data	EV	IP-MAT[l=0]	1
van-data	Q	NP-SBJ[l=1]	1
van-data	NPR	NP-SBJ[l=1]	1
